service_id,date,exception_type
1,20131109,1
1,20131116,1
1,20131123,1
1,20131129,1
1,20131130,1
1,20131207,1
1,20131214,1
1,20131221,1
1,20131228,1
1,20140104,1
1,20140111,1
1,20140118,1
1,20140125,1
1,20140201,1
1,20140208,1
1,20140215,1
1,20140222,1
1,20140301,1
1,20140308,1
1,20140315,1
1,20140322,1
1,20140329,1
1,20140405,1
1,20140412,1
1,20140419,1
1,20140426,1
1,20140503,1
2,20131110,1
2,20131117,1
2,20131124,1
2,20131128,1
2,20131201,1
2,20131208,1
2,20131215,1
2,20131222,1
2,20131229,1
2,20140105,1
2,20140112,1
2,20140119,1
2,20140126,1
2,20140202,1
2,20140209,1
2,20140216,1
2,20140223,1
2,20140302,1
2,20140309,1
2,20140316,1
2,20140323,1
2,20140330,1
2,20140406,1
2,20140413,1
2,20140420,1
2,20140427,1
2,20140504,1
3,20131107,1
3,20131108,1
3,20131111,1
3,20131112,1
3,20131113,1
3,20131114,1
3,20131115,1
3,20131118,1
3,20131119,1
3,20131120,1
3,20131121,1
3,20131122,1
3,20131125,1
3,20131126,1
3,20131127,1
3,20131202,1
3,20131203,1
3,20131204,1
3,20131205,1
3,20131206,1
3,20131209,1
3,20131210,1
3,20131211,1
3,20131212,1
3,20131213,1
3,20131216,1
3,20131217,1
3,20131218,1
3,20131219,1
3,20131220,1
3,20131223,1
3,20131224,1
3,20131225,1
3,20131226,1
3,20131227,1
3,20131230,1
3,20131231,1
3,20140101,1
3,20140102,1
3,20140103,1
3,20140106,1
3,20140107,1
3,20140108,1
3,20140109,1
3,20140110,1
3,20140113,1
3,20140114,1
3,20140115,1
3,20140116,1
3,20140117,1
3,20140120,1
3,20140121,1
3,20140122,1
3,20140123,1
3,20140124,1
3,20140127,1
3,20140128,1
3,20140129,1
3,20140130,1
3,20140131,1
3,20140203,1
3,20140204,1
3,20140205,1
3,20140206,1
3,20140207,1
3,20140210,1
3,20140211,1
3,20140212,1
3,20140213,1
3,20140214,1
3,20140217,1
3,20140218,1
3,20140219,1
3,20140220,1
3,20140221,1
3,20140224,1
3,20140225,1
3,20140226,1
3,20140227,1
3,20140228,1
3,20140303,1
3,20140304,1
3,20140305,1
3,20140306,1
3,20140307,1
3,20140310,1
3,20140311,1
3,20140312,1
3,20140313,1
3,20140314,1
3,20140317,1
3,20140318,1
3,20140319,1
3,20140320,1
3,20140321,1
3,20140324,1
3,20140325,1
3,20140326,1
3,20140327,1
3,20140328,1
3,20140331,1
3,20140401,1
3,20140402,1
3,20140403,1
3,20140404,1
3,20140407,1
3,20140408,1
3,20140409,1
3,20140410,1
3,20140411,1
3,20140414,1
3,20140415,1
3,20140416,1
3,20140417,1
3,20140418,1
3,20140421,1
3,20140422,1
3,20140423,1
3,20140424,1
3,20140425,1
3,20140428,1
3,20140429,1
3,20140430,1
3,20140501,1
3,20140502,1
3,20140505,1
4,20131109,1
4,20131116,1
4,20131123,1
4,20131130,1
4,20131207,1
4,20131214,1
4,20131221,1
4,20131228,1
4,20140104,1
4,20140111,1
4,20140118,1
4,20140125,1
4,20140201,1
4,20140208,1
4,20140215,1
4,20140222,1
4,20140301,1
4,20140308,1
4,20140315,1
4,20140322,1
4,20140329,1
4,20140405,1
4,20140412,1
4,20140419,1
4,20140426,1
4,20140503,1
5,20131107,1
5,20131108,1
5,20131111,1
